seed	iter18_shots	iter16_shots	first_divergence_index	iter18_turn	iter18_cell	iter18_cluster	iter18_active	iter18_remaining	iter18_prev_result	iter16_turn	iter16_cell	iter16_cluster	iter16_active	iter16_remaining	iter16_prev_result	pattern
588	392	244	139	141	15,8	Some(0)	1	9	KILL	141	2,18	None	0	9	KILL	iter18_chases_leftover_after_kill_iter16_hunts
853	246	130	11	13	6,7	Some(0)	1	64	KILL	13	4,5	None	0	64	KILL	iter18_chases_leftover_after_kill_iter16_hunts
256	279	166	89	91	15,4	Some(0)	1	25	KILL	91	14,9	None	0	25	KILL	iter18_chases_leftover_after_kill_iter16_hunts
835	390	283	40	42	12,5	Some(0)	1	129	MISS	42	12,7	Some(0)	1	129	MISS	different_chase_choice
188	299	193	171	173	8,10	Some(0)	1	4	KILL	173	5,4	None	0	4	KILL	iter18_chases_leftover_after_kill_iter16_hunts
865	252	151	107	109	1,2	Some(0)	1	8	KILL	109	1,12	None	0	8	KILL	iter18_chases_leftover_after_kill_iter16_hunts
952	389	288	38	40	3,5	Some(0)	1	143	KILL	40	14,8	None	0	143	KILL	iter18_chases_leftover_after_kill_iter16_hunts
967	387	296	200	202	18,18	Some(0)	1	4	KILL	202	5,8	None	0	4	KILL	iter18_chases_leftover_after_kill_iter16_hunts
300	286	211	46	48	11,14	Some(0)	1	32	KILL	48	12,3	None	0	32	KILL	iter18_chases_leftover_after_kill_iter16_hunts
272	201	136	61	63	15,9	Some(0)	1	28	KILL	63	8,1	None	0	28	KILL	iter18_chases_leftover_after_kill_iter16_hunts
22	158	93	29	31	6,8	Some(0)	1	9	KILL	31	2,2	None	0	9	KILL	iter18_chases_leftover_after_kill_iter16_hunts
