seed	score	turns	shots	scans	hunt_turns	chase_options	kills	ambiguous_kills	max_miss_streak	prelim_classification	notes
588	400.9566300864906	394	392	2	320	72	13	2	188	hunt_misses	max_miss_streak=188
853	260.50835930572975	248	246	2	168	78	12	2	110	hunt_misses	max_miss_streak=110
256	283.5537698295689	281	279	2	187	92	16	3	112	hunt_misses	max_miss_streak=112
835	396.47292882755244	392	390	2	211	179	26	5	113	kill_leftover_ambiguity,chase_overcommit,hunt_misses	max_cluster_hits=26; max_miss_streak=113
188	308.86348011805177	301	299	2	183	122	21	2	118	hunt_misses	max_miss_streak=118
865	260.1881252140321	254	252	2	171	81	15	1	123	hunt_misses	max_miss_streak=123
952	394.2942401574252	391	389	2	209	180	27	8	123	kill_leftover_ambiguity,chase_overcommit,hunt_misses	max_cluster_hits=11; max_miss_streak=123
967	398.07496511354225	389	387	2	261	126	22	1	86	hunt_misses	max_miss_streak=86
300	298.83872864104745	288	286	2	216	70	13	3	95	hunt_misses	max_miss_streak=95
272	205.25201081407937	203	201	2	118	83	12	3	57	unknown	
22	164.22466921839367	160	158	2	129	29	7	1	45	unknown	
